ID,業種,店舗名,住所,建物名,経度,緯度
129,小売り,酒ゃビック西小川店,西小川2丁目1-17,,138.311547,34.85938144
130,小売り,酒ゃビック焼津店,八楠3丁目11-8,,138.3064239,34.87820473
131,小売り,さくらい,下小田535-1,,138.3224464,34.83660562
132,小売り,SAKURAファーム,八楠4-13-7,,138.3043009,34.88067556
133,小売り,有限会社茶郷山いち,駅北3丁目15番28号,,138.3149198,34.87469422
134,小売り,有限会社サスイゲタフード,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
135,小売り,株式会社サスナ,中里824番地,,138.3134933,34.88191369
136,小売り,定長商店,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
137,小売り,さふらん手芸店,上小杉350番地,,138.2799559,34.81664257
138,小売り,さらふぁん,西焼津8-5,,138.2866428,34.86094946
139,小売り,有限会社澤﨑タイヤ商会,駅北3-22-12,,138.3130209,34.87454617
140,小売り,さんこう西小川店,西小川4-1-1,,138.309112,34.85481167
141,小売り,サンドイッチ専門店ららサンド,田尻380,コインランドリー寿内,138.3185095,34.82924251
142,小売り,サンドラッグ焼津三ヶ名,三ケ名1130,,138.3068437,34.86271147
143,小売り,三福,大住130-4,,138.2909715,34.85021812
144,小売り,ジェリーズポップコーン焼津インター店,八楠4丁目13-7,焼津さかなセンターバス駐車場付近,138.3043009,34.88067556
145,小売り,地酒やすだや,道原1181-2,,138.3038784,34.84526842
146,小売り,しずてつストア焼津三ケ名店,三ケ名794,,138.2994781,34.85962339
147,小売り,静浜給油所,宗高3,,138.2807965,34.8141153
148,小売り,自然食品元氣界,小川3608-6,,138.3214439,34.84976589
149,小売り,自慢のお米又平商店,中里566,,138.314452,34.8815359
150,小売り,下村こうじ屋,本町2-15-6,,138.3228809,34.86652396
151,小売り,写真のサクライ,焼津2丁目6-2,,138.3146773,34.86447671
152,小売り,シュープラザ焼津店,祢宜島字立通り25-1,,138.3040027,34.84287021
153,小売り,有限会社ジュウボシ,焼津5丁目12-31,,138.3167512,34.86298391
154,小売り,ジョイプラザ焼津インター店,八楠1-11-9,,138.3060431,34.88358115
155,小売り,ジョイプラザ焼津店,大住683-7,,138.2901472,34.8477809
156,小売り,ジョイフルパル,西小川1-2-1,,138.3124881,34.86032703
157,小売り,ジョーシン焼津インター店,越後島385,,138.2972128,34.8836284
158,小売り,白憙久,本町５丁目１番３号,,138.3197697,34.86333333
159,小売り,JINS焼津店,祢宜島5-28,,138.3119092,34.83977504
160,小売り,株式会社シントク電器,西小川２-１２-１,,138.3075678,34.86113393
161,小売り,スウィングスポーツ,石津2-4-7,,138.3127979,34.8432203
162,小売り,スーパーマーケットバロー石津店,石津1171-1,,138.3176917,34.84518907
