全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
222127,147,静岡県焼津市,井戸,222127,0038000,静岡県焼津市下江留191番地,静岡県,焼津市,下江留,191番地,,34.801485,138.28251,,
222127,148,静岡県焼津市,井戸,222127,0038000,静岡県焼津市下江留2235番地  ,静岡県,焼津市,下江留,2235番地  ,,34.8110193,138.2678257,,
222127,149,静岡県焼津市,井戸,222127,0041000,静岡県焼津市下小杉726番地,静岡県,焼津市,下小杉,726番地,,34.812718,138.313435,,
222127,150,静岡県焼津市,井戸,222127,0041000,静岡県焼津市下小杉700番地,静岡県,焼津市,下小杉,700番地,,34.814123,138.314681,,
222127,151,静岡県焼津市,井戸,222127,0041000,静岡県焼津市下小杉511番地1,静岡県,焼津市,下小杉,511番地1,,34.8119,138.314161,,
222127,152,静岡県焼津市,井戸,222127,0041000,静岡県焼津市下小杉577番地の1,静岡県,焼津市,下小杉,577番地の1,,34.813139,138.316119,,
222127,153,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田2098番地の2,静岡県,焼津市,高新田,2098番地の2,,34.797445,138.308074,,
222127,154,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田2138番地,静岡県,焼津市,高新田,2138番地,,34.800771,138.310757,,
222127,155,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田2236番地,静岡県,焼津市,高新田,2236番地,,34.799927,138.311178,,
222127,156,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田1878番地,静岡県,焼津市,高新田,1878番地,,34.794928,138.305844,,
222127,157,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田2200番地,静岡県,焼津市,高新田,2200番地,,34.799087,138.310617,,
222127,158,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田2311番地の2,静岡県,焼津市,高新田,2311番地の2,,34.800763,138.310766,,
222127,159,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田2054番地,静岡県,焼津市,高新田,2054番地,,34.796526,138.308239,,
222127,160,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田1853番地の1,静岡県,焼津市,高新田,1853番地の1,,34.794052,138.307081,,
222127,161,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田2441番地の8,静岡県,焼津市,高新田,2441番地の8,,34.794994,138.308087,,
222127,162,静岡県焼津市,井戸,222127,0050000,静岡県焼津市高新田2043番地,静岡県,焼津市,高新田,2043番地,,34.796134,138.308553,,
222127,163,静岡県焼津市,井戸,222127,0055000,静岡県焼津市中島780番地,静岡県,焼津市,中島,780番地,,34.793084,138.278113,,
222127,164,静岡県焼津市,井戸,222127,0055000,静岡県焼津市中島1183番地,静岡県,焼津市,中島,1183番地,,34.796791,138.272077,,
222127,165,静岡県焼津市,井戸,222127,0061000,静岡県焼津市西島502番地,静岡県,焼津市,西島,502番地,,34.797838,138.268252,,
222127,166,静岡県焼津市,井戸,222127,0066000,静岡県焼津市飯淵39番地の2,静岡県,焼津市,飯淵,39番地の2,,34.789554,138.279465,,
222127,167,静岡県焼津市,井戸,222127,0066000,静岡県焼津市飯淵277番地,静岡県,焼津市,飯淵,277番地,,34.788578,138.282879,,
222127,168,静岡県焼津市,井戸,222127,0066000,静岡県焼津市飯淵344番地,静岡県,焼津市,飯淵,344番地,,34.788808,138.283809,,
222127,169,静岡県焼津市,井戸,222127,0066000,静岡県焼津市飯淵621番地,静岡県,焼津市,飯淵,621番地,,34.785583,138.281719,,
222127,170,静岡県焼津市,井戸,222127,0066000,静岡県焼津市飯淵820番地,静岡県,焼津市,飯淵,820番地,,34.787925,138.285374,,
222127,171,静岡県焼津市,井戸,222127,0066000,静岡県焼津市飯淵933番地,静岡県,焼津市,飯淵,933番地,,34.78415,138.282552,,
222127,172,静岡県焼津市,井戸,222127,0066000,静岡県焼津市飯淵362番地,静岡県,焼津市,飯淵,362番地,,34.790023,138.28363,,
222127,173,静岡県焼津市,井戸,222127,0066000,静岡県焼津市飯淵385番地,静岡県,焼津市,飯淵,385番地,,34.789813,138.284861,,
222127,174,静岡県焼津市,井戸,222127,0066000,静岡県焼津市飯淵882番地,静岡県,焼津市,飯淵,882番地,,34.784844,138.284015,,
222127,175,静岡県焼津市,井戸,222127,0070000,静岡県焼津市藤守421番地の2,静岡県,焼津市,藤守,421番地の2,,34.807304,138.303615,,
